plate	sample_name	organism	cell_type	animal_number	time_or_age	sex	side	cell_number	treatment	associated_image_file	size	notes																	
MBL06	Z1	zebrafish	skin		1 dpp	male																							
MBL06	Z2	zebrafish	skin		0 dpp	male																							
MBL06	Z3	zebrafish	skin		1 dpp	male																							
MBL06	Z4	zebrafish	skin		1 dpp	male																							
MBL06	Z5	zebrafish	skin		0 dpp	male																							
MBL06	Z6	zebrafish	skin		1 dpp	male																							
MBL06	Z25	zebrafish	skin		3 dpp	male																							
MBL06	Z26	zebrafish	skin		3 dpp	male																							
MBL06	Z24	zebrafish	skin		0 dpp	male																							
MBL06	S1	mouse	DRG			male		culture	Treated																				
MBL06	S5	mouse	DRG			male		culture	Untreated																				
MBL06	S9	mouse	DRG			male		culture	Treated																				
MBL06	S13	mouse	DRG			male		culture	Untreated																				
MBL06	S17	mouse	DRG			female		culture	Treated																				
MBL06	S21	mouse	DRG			female		culture	Untreated																				
MBL06	Z7	zebrafish	skin		0 dpp	male																							
MBL06	Z8	zebrafish	skin		1 dpp	male																							
MBL06	Z9	zebrafish	skin		1 dpp	male																							
MBL06	Z10	zebrafish	skin		0 dpp	male																							
MBL06	Z11	zebrafish	skin		0 dpp	male																							
MBL06	Z12	zebrafish	skin		0 dpp	male																							
MBL06	Z28	zebrafish	skin		3 dpp	male																							
MBL06	Z29	zebrafish	skin		3 dpp	male																							
MBL06	Z30	zebrafish	skin		3 dpp	male																							
MBL06	S2	mouse	DRG			male		culture	Treated																				
MBL06	S6	mouse	DRG			male		culture	Untreated																				
MBL06	S10	mouse	DRG			male		culture	Treated																				
MBL06	S14	mouse	DRG			male		culture	Untreated																				
MBL06	S18	mouse	DRG			female		culture	Treated																				
MBL06	S22	mouse	DRG			female		culture	Untreated																				
MBL06	Z13	zebrafish	skin		1 dpp	male																							
MBL06	Z14	zebrafish	skin		0 dpp	male																							
MBL06	Z15	zebrafish	skin		1 dpp	male																							
MBL06	Z16	zebrafish	skin		0 dpp	male																							
MBL06	Z17	zebrafish	skin		1 dpp	male																							
MBL06	Z18	zebrafish	skin		1 dpp	male																							
MBL06	Z31	zebrafish	skin		3 dpp	male																							
MBL06	Z32	zebrafish	skin		3 dpp	male																							
MBL06	Z33	zebrafish	skin		3 dpp	male																							
MBL06	S3	mouse	DRG			male		culture	Treated																				
MBL06	S7	mouse	DRG			male		culture	Untreated																				
MBL06	S11	mouse	DRG			male		culture	Treated																				
MBL06	S15	mouse	DRG			male		culture	Untreated																				
MBL06	S19	mouse	DRG			female		culture	Treated																				
MBL06	S23	mouse	DRG			female		culture	Untreated																				
MBL06	Z19	zebrafish	skin		0 dpp	male																							
MBL06	Z20	zebrafish	skin		1 dpp	male																							
MBL06	Z21	zebrafish	skin		1 dpp	male																							
MBL06	Z22	zebrafish	skin		0 dpp	male																							
MBL06	Z23	zebrafish	skin		0 dpp	male																							
MBL06	Z27	zebrafish	skin		0 dpp	male																							
MBL06	Z34	zebrafish	skin		3 dpp	male																							
MBL06	Z35	zebrafish	skin		3 dpp	male																							
MBL06	Z36	zebrafish	skin		3 dpp	male																							
MBL06	S4	mouse	DRG			male		culture	Treated																				
MBL06	S8	mouse	DRG			male		culture	Untreated																				
MBL06	S12	mouse	DRG			male		culture	Treated																				
MBL06	S16	mouse	DRG			male		culture	Untreated																				
MBL06	S20	mouse	DRG			female		culture	Treated																				
MBL06	S24	mouse	DRG			female		culture	Untreated																				
MBL06	N3	drosophila	c4da		3rd instar			8																					
MBL06	N2	drosophila	c4da		3rd instar			8																					
MBL06	N4	drosophila	c4da		3rd instar			8																					
MBL06	N7	drosophila	c4da		3rd instar			10																					
MBL06	N8	drosophila	c4da		3rd instar			6																					
MBL06	N9	drosophila	c4da		3rd instar			6																					
MBL06	N10	drosophila	c4da		3rd instar			7																					
MBL06	N11	drosophila	c4da		3rd instar			10																					
MBL06	N12	drosophila	c4da		3rd instar			10																					
MBL06	N13	drosophila	c4da		3rd instar			10																					
MBL06	N15	drosophila	c4da		3rd instar			10																					
MBL06	N16	drosophila	c4da		Adult			10																					
MBL06	N17	drosophila	c4da		Adult			8																					
MBL06	N19	drosophila	c4da		3rd instar			10																					
MBL06	N21	drosophila	c4da		Adult			10																					
MBL06	N22	drosophila	c4da		Adult			10																					
MBL06	N23	drosophila	c4da		Adult			10																					
MBL06	N24	drosophila	c4da		Adult			10																					
MBL06	N25	drosophila	c4da		Adult			10																					
MBL06	N26	drosophila	c4da		Adult			5																					
MBL06	N28	drosophila	c4da		Adult			10																					
MBL06	N29	drosophila	c4da		Adult			10																					
MBL06	N30	drosophila	c4da		Adult			10																					
MBL06	N31	drosophila	c4da		3rd instar			10																					
MBL06	N32	drosophila	c4da		3rd instar			10																					
MBL06	N33	drosophila	c4da		3rd instar			10																					
MBL07	A1	mouse	DRG	2		female		1																					
MBL07	A2	mouse	DRG	2		female		1																					
MBL07	A3	mouse	DRG	2		female		1																					
MBL07	A4	mouse	DRG	2		female		1																					
MBL07	A5	mouse	DRG	2		female		1																					
MBL07	A6	mouse	DRG	2		female		1																					
MBL07	A7	mouse	DRG	2		female		1																					
MBL07	A8	mouse	DRG	2		female		1																					
MBL07	A9	mouse	DRG	2		female		1																					
MBL07	A10	mouse	DRG	2		female		1																					
MBL07	A11	mouse	DRG	2		female		1																					
MBL07	A12	mouse	DRG	2		female		1																					
MBL07	A13	mouse	DRG	2		female		1																					
MBL07	A14	mouse	DRG	2		female		1																					
MBL07	A15	mouse	DRG	2		female		1																					
MBL07	A16	mouse	DRG	2		female		1																					
MBL07	A17	mouse	DRG	2		female		1																					
MBL07	A18	mouse	DRG	3		female		1																					
